TimeStamp		 Channel 00	 Channel 01
00:00:00.1487839	 ,4.6786  V	,1.7522  V	
00:00:00.1506256	 ,-0.2397  V	,-0.0676  V	
00:00:00.1508149	 ,4.7228  V	,3.2116  V	
00:00:00.1509771	 ,-0.6560  V	,-0.3948  V	
00:00:00.1511622	 ,4.8669  V	,3.6672  V	
00:00:00.1513605	 ,-0.4079  V	,-0.3957  V	
00:00:00.1516385	 ,4.7384  V	,3.8140  V	
00:00:00.1519053	 ,0.0258  V	,-0.1210  V	
00:00:00.1521993	 ,4.6493  V	,3.8647  V	
00:00:00.1524197	 ,0.4555  V	,0.2379  V	
00:00:00.1526291	 ,4.7793  V	,3.9709  V	
00:00:00.1528537	 ,0.7805  V	,0.5632  V	
00:00:00.1530536	 ,4.7594  V	,4.0380  V	
00:00:00.1532749	 ,1.0256  V	,0.8302  V	
00:00:00.1534872	 ,4.6618  V	,4.0423  V	
00:00:00.1537524	 ,1.2096  V	,1.0353  V	
00:00:00.1539938	 ,4.7887  V	,4.1039  V	
00:00:00.1541510	 ,1.3704  V	,1.2105  V	
00:00:00.1543345	 ,4.8449  V	,4.1765  V	
00:00:00.1544979	 ,1.4903  V	,1.3463  V	
00:00:00.1546995	 ,4.6731  V	,4.1408  V	
00:00:00.1548617	 ,1.6139  V	,1.4586  V	
00:00:00.1550177	 ,4.6786  V	,4.1204  V	
00:00:00.1551753	 ,1.6622  V	,1.5361  V	
00:00:00.1553613	 ,4.7985  V	,4.1625  V	
00:00:00.1555120	 ,1.7125  V	,1.5950  V	
00:00:00.1556996	 ,4.7118  V	,4.1558  V	
00:00:00.1558720	 ,1.7797  V	,1.6472  V	
00:00:00.1560280	 ,4.6871  V	,4.1509  V	
00:00:00.1561857	 ,1.8477  V	,1.7104  V	
00:00:00.1563577	 ,4.8425  V	,4.2171  V	
00:00:00.1564739	 ,1.8511  V	,1.7415  V	
00:00:00.1566098	 ,4.7991  V	,4.2342  V	
00:00:00.1567095	 ,1.8892  V	,1.7684  V	
00:00:00.1568803	 ,4.6416  V	,4.1695  V	
00:00:00.1570433	 ,1.9023  V	,1.7885  V	
00:00:00.1571776	 ,4.7259  V	,4.1686  V	
00:00:00.1573217	 ,1.9261  V	,1.8099  V	
00:00:00.1574641	 ,4.7942  V	,4.2080  V	
00:00:00.1575672	 ,1.9310  V	,1.8190  V	
00:00:00.1576567	 ,4.6740  V	,4.1656  V	
00:00:00.1577733	 ,1.9463  V	,1.8322  V	
00:00:00.1578681	 ,4.7283  V	,4.1634  V	
00:00:00.1579584	 ,1.9585  V	,1.8453  V	
00:00:00.1580635	 ,4.8470  V	,4.2394  V	
00:00:00.1581522	 ,1.9698  V	,1.8587  V	
00:00:00.1582659	 ,4.7359  V	,4.2336  V	
00:00:00.1583402	 ,1.9887  V	,1.8749  V	
00:00:00.1584359	 ,4.6477  V	,4.1619  V	
00:00:00.1585254	 ,1.9991  V	,1.8782  V	
00:00:00.1586457	 ,4.7747  V	,4.1942  V	
00:00:00.1587709	 ,1.9915  V	,1.8840  V	
00:00:00.1588949	 ,4.7530  V	,4.2168  V	
00:00:00.1590209	 ,1.9838  V	,1.8816  V	
00:00:00.1591457	 ,4.6694  V	,4.1686  V	
00:00:00.1592434	 ,1.9911  V	,1.8825  V	
00:00:00.1593403	 ,4.7930  V	,4.2043  V	
00:00:00.1594352	 ,1.9930  V	,1.8901  V	
00:00:00.1595243	 ,4.8519  V	,4.2687  V	
00:00:00.1596458	 ,2.0159  V	,1.9030  V	
00:00:00.1597706	 ,4.6697  V	,4.2089  V	
00:00:00.1598691	 ,2.0076  V	,1.8968  V	
00:00:00.1599590	 ,4.6825  V	,4.1717  V	
00:00:00.1600855	 ,2.0128  V	,1.8978  V	
00:00:00.1605026	 ,4.7967  V	,4.2126  V	
00:00:00.1606003	 ,2.0079  V	,1.9026  V	
00:00:00.1606877	 ,4.7121  V	,4.2049  V	
00:00:00.1608105	 ,1.9896  V	,1.8895  V	
00:00:00.1608988	 ,4.6874  V	,4.1769  V	
00:00:00.1610211	 ,1.9969  V	,1.8920  V	
00:00:00.1611467	 ,4.8449  V	,4.2296  V	
00:00:00.1612662	 ,2.0134  V	,1.9039  V	
00:00:00.1613405	 ,4.8229  V	,4.2498  V	
00:00:00.1614358	 ,1.9991  V	,1.8959  V	
00:00:00.1615257	 ,4.6398  V	,4.1942  V	
00:00:00.1616464	 ,1.9997  V	,1.8914  V	
00:00:00.1617745	 ,4.7286  V	,4.1854  V	
00:00:00.1618952	 ,1.9792  V	,1.8791  V	
00:00:00.1620224	 ,4.7945  V	,4.2171  V	
00:00:00.1621460	 ,1.9777  V	,1.8767  V	
00:00:00.1622655	 ,4.6764  V	,4.1762  V	
00:00:00.1623402	 ,2.0232  V	,1.8932  V	
00:00:00.1624359	 ,4.7304  V	,4.1814  V	
00:00:00.1625249	 ,2.0006  V	,1.8978  V	
00:00:00.1626177	 ,4.8653  V	,4.2553  V	
00:00:00.1627089	 ,2.0082  V	,1.9030  V	
00:00:00.1628111	 ,4.7344  V	,4.2394  V	
00:00:00.1628985	 ,2.0360  V	,1.9158  V	
00:00:00.1630205	 ,4.6456  V	,4.1833  V	
00:00:00.1631453	 ,2.0250  V	,1.9182  V	
00:00:00.1632660	 ,4.7738  V	,4.1979  V	
00:00:00.1633407	 ,2.0092  V	,1.9109  V	
00:00:00.1634372	 ,4.7668  V	,4.2174  V	
00:00:00.1635259	 ,2.0092  V	,1.9054  V	
