TimeStamp		 Channel 00	 Channel 01
00:00:00.0819867	 ,-0.0764  V	,-0.2727  V	
00:00:00.0839602	 ,0.5183  V	,0.5843  V	
00:00:00.0841470	 ,-0.0832  V	,-0.2409  V	
00:00:00.0842730	 ,-0.3191  V	,-0.2901  V	
00:00:00.0844286	 ,-0.0832  V	,-0.2257  V	
00:00:00.0846154	 ,-0.8925  V	,-0.8952  V	
00:00:00.0847841	 ,-0.0758  V	,-0.1827  V	
00:00:00.0849890	 ,-0.8943  V	,-0.9090  V	
00:00:00.0851672	 ,-0.0710  V	,-0.1198  V	
00:00:00.0853146	 ,-0.4234  V	,-0.4228  V	
00:00:00.0854385	 ,-0.0664  V	,-0.0652  V	
00:00:00.0856106	 ,0.1402  V	,0.1610  V	
00:00:00.0857690	 ,-0.0722  V	,-0.0533  V	
00:00:00.0858963	 ,0.3563  V	,0.3825  V	
00:00:00.0860195	 ,-0.0801  V	,-0.0935  V	
00:00:00.0861701	 ,0.0780  V	,0.0945  V	
00:00:00.0863196	 ,-0.0853  V	,-0.1335  V	
00:00:00.0864464	 ,-0.4448  V	,-0.4518  V	
00:00:00.0865766	 ,-0.0807  V	,-0.1527  V	
00:00:00.0866965	 ,-0.7805  V	,-0.8031  V	
00:00:00.0868545	 ,-0.0749  V	,-0.1186  V	
00:00:00.0870372	 ,-0.6236  V	,-0.6404  V	
00:00:00.0872298	 ,-0.0694  V	,-0.0645  V	
00:00:00.0874079	 ,-0.0703  V	,-0.0679  V	
00:00:00.0875795	 ,-0.0673  V	,-0.0313  V	
00:00:00.0877277	 ,0.4134  V	,0.4372  V	
00:00:00.0878805	 ,-0.0734  V	,-0.0526  V	
00:00:00.0880525	 ,0.4311  V	,0.4555  V	
00:00:00.0882032	 ,-0.0807  V	,-0.1015  V	
00:00:00.0883530	 ,-0.0145  V	,-0.0053  V	
00:00:00.0884963	 ,-0.0853  V	,-0.1326  V	
00:00:00.0886741	 ,-0.5446  V	,-0.5592  V	
00:00:00.0888161	 ,-0.0780  V	,-0.1320  V	
00:00:00.0889524	 ,-0.7115  V	,-0.7350  V	
00:00:00.0891302	 ,-0.0722  V	,-0.0890  V	
00:00:00.0892751	 ,-0.4073  V	,-0.4176  V	
00:00:00.0894093	 ,-0.0652  V	,-0.0420  V	
00:00:00.0895695	 ,0.1488  V	,0.1634  V	
00:00:00.0897411	 ,-0.0710  V	,-0.0252  V	
00:00:00.0899049	 ,0.5083  V	,0.5287  V	
00:00:00.0900695	 ,-0.0755  V	,-0.0639  V	
00:00:00.0902157	 ,0.3783  V	,0.3966  V	
00:00:00.0903844	 ,-0.0832  V	,-0.1155  V	
00:00:00.0905437	 ,-0.1677  V	,-0.1692  V	
00:00:00.0907161	 ,-0.0844  V	,-0.1451  V	
00:00:00.0908762	 ,-0.6270  V	,-0.6496  V	
00:00:00.0910138	 ,-0.0774  V	,-0.1262  V	
00:00:00.0911747	 ,-0.6343  V	,-0.6529  V	
00:00:00.0913406	 ,-0.0713  V	,-0.0771  V	
00:00:00.0915036	 ,-0.1967  V	,-0.2019  V	
00:00:00.0916382	 ,-0.0661  V	,-0.0365  V	
00:00:00.0917725	 ,0.3313  V	,0.3490  V	
00:00:00.0919749	 ,-0.0722  V	,-0.0352  V	
00:00:00.0920849	 ,0.5098  V	,0.5354  V	
00:00:00.0922651	 ,-0.0807  V	,-0.0798  V	
00:00:00.0924552	 ,0.2171  V	,0.2306  V	
00:00:00.0926120	 ,-0.0865  V	,-0.1234  V	
00:00:00.0927492	 ,-0.3459  V	,-0.3493  V	
00:00:00.0929327	 ,-0.0801  V	,-0.1366  V	
00:00:00.0931145	 ,-0.6847  V	,-0.7082  V	
00:00:00.0932948	 ,-0.0764  V	,-0.1085  V	
00:00:00.0934565	 ,-0.5464  V	,-0.5693  V	
00:00:00.0936380	 ,-0.0694  V	,-0.0560  V	
00:00:00.0938301	 ,0.0005  V	,0.0032  V	
00:00:00.1606471	 ,-0.0679  V	,-0.0276  V	
00:00:00.1608187	 ,0.4759  V	,0.5003  V	
00:00:00.1609842	 ,-0.0740  V	,-0.0447  V	
00:00:00.1611492	 ,0.4729  V	,0.4970  V	
00:00:00.1613422	 ,-0.0813  V	,-0.0923  V	
00:00:00.1615827	 ,0.0401  V	,0.0462  V	
00:00:00.1617465	 ,-0.0868  V	,-0.1393  V	
00:00:00.1618705	 ,-0.5028  V	,-0.5177  V	
00:00:00.1619945	 ,-0.0801  V	,-0.1289  V	
00:00:00.1621197	 ,-0.6722  V	,-0.6963  V	
00:00:00.1622445	 ,-0.0703  V	,-0.0871  V	
00:00:00.1623693	 ,-0.3746  V	,-0.3859  V	
00:00:00.1624843	 ,-0.0664  V	,-0.0441  V	
00:00:00.1626272	 ,0.1729  V	,0.1842  V	
00:00:00.1627393	 ,-0.0713  V	,-0.0273  V	
00:00:00.1628739	 ,0.5226  V	,0.5455  V	
00:00:00.1629831	 ,-0.0764  V	,-0.0591  V	
00:00:00.1631560	 ,0.3899  V	,0.4097  V	
00:00:00.1633046	 ,-0.0819  V	,-0.1137  V	
00:00:00.1634433	 ,-0.1613  V	,-0.1613  V	
00:00:00.1635965	 ,-0.0838  V	,-0.1415  V	
00:00:00.1637303	 ,-0.6227  V	,-0.6429  V	
00:00:00.1638982	 ,-0.0777  V	,-0.1228  V	
00:00:00.1640661	 ,-0.5986  V	,-0.6236  V	
00:00:00.1642004	 ,-0.0703  V	,-0.0795  V	
00:00:00.1643400	 ,-0.1857  V	,-0.1881  V	
00:00:00.1644993	 ,-0.0658  V	,-0.0301  V	
